On Card Played Add Foam Bullets To Hand                                 ,Add <{a}> <card=FoamBullet> to your hand when played                                                               ,Stock of Foam Bullets(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Instant Summon FoamBullet In Hand                                            ,StatusEffectApplyXOnCardPlayed                        ,nan                                                                      ,0           ,nan                                     ,Custom effect: adds Foam Bullets to hand on play.                        
Bonus Damage Equal To Darts In Hand                                      ,Deal additional damage equal to <Tar Blades> in hand                                                                                                      ,Tar Blade                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,nan                                                                            ,StatusEffectBonusDamageEqualToCards                   ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Bonus Damage Equal To Gold Factor 0.02                                   ,None; Used by Greed Trait                                                                                                                                 ,Greed Charm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,nan                                                                            ,StatusEffectBonusDamageEqualToX                       ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Bonus Damage Equal To Highest Enemy Attack                               ,Deal additional damage equal to the highest enemy <keyword=attack>                                                                                        ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectBonusDamageEqualToEnemyStat               ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Bonus Damage Equal To Juice                                              ,Deal additional damage equal to <keyword=juice>                                                                                                           ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectBonusDamageEqualToX                       ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Bonus Damage Equal To Scrap On Board                                     ,Deal additional damage equal to <keyword=scrap> on the board                                                                                              ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectBonusDamageEqualToX                       ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Bonus Damage Equal To Scrap                                              ,Deal additional damage equal to <keyword=scrap>                                                                                                           ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectBonusDamageEqualToX                       ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Bonus Damage Equal To Shell                                              ,Deal additional damage equal to <keyword=shell>                                                                                                           ,"Chompom,Conker                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ",nan                                                                            ,StatusEffectBonusDamageEqualToX                       ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Bonus Damage Equal To Spice                                              ,Deal additional damage equal to <keyword=spice>                                                                                                           ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectBonusDamageEqualToX                       ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Boost Effects                                                            ,Boost the target's effects by <{a}>                                                                                                                       ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectInstantReduceEffects                      ,Can Be Boosted                                                           ,0           ,nan                                     ,nan                                                                   
Budge                                                                    ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectInstantBudge                              ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Cannot Increase Max Health                                               ,None; Used by Fragile Trait                                                                                                                               ,Sunglass Charm(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,nan                                                                            ,StatusEffectCannotIncreaseMaxHealth                   ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Cannot Recall                                                            ,"None; Used by Pigheaded, Summoned Traits                                                                                                                  ","Spike(1),Hog Charm(1),Hog Crown(1)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",nan                                                                            ,StatusEffectCannotBeRecalled                          ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Check Has Juice                                                          ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectJuice                                     ,Has Juice                                                                ,0           ,nan                                     ,nan                                                                   
Cleanse                                                                  ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectInstantCleanse                            ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Combine When 2 Deployed                                                  ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectBuild                                     ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Copy Effects                                                             ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectInstantCopyEffects                        ,"Does Not Have Bombard 1, Does Not Have Bombard 2                         ",0           ,nan                                     ,nan                                                                   
Crush                                                                    ,None; Used by Crush Trait                                                                                                                                 ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectCrush                                     ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Damage Equal To Health                                                   ,Deal additional damage equal to <keyword=health>                                                                                                          ,"Earth Berry,Gojiber,Queen Globerry                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ",nan                                                                            ,StatusEffectBonusDamageEqualToX                       ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Damage To Front Allies                                                   ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectApplyXToFrontAllies                       ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Demonize                                                                 ,None                                                                                                                                                      ,"Demonheart(a1),Loki(a1),Goat Tongue(a1),Leader(a1),Leader(a1),Leader(a1),Leader(a1),Pygmy(a1),Goat Charm(a1),Demon Eye Charm(1),Demon Crown(1)                                                                                                                                                                                                                                                                                                                                                                                                     ",nan                                                                            ,StatusEffectDemonize                                  ,Can Be Hit                                                               ,1           ,nan                                     ,nan                                                                   
Destroy After Use                                                        ,None; Used by Consume Trait                                                                                                                               ,"Blaze Tea,Broken Crown,Gunk Fruit,Blank Mask,Dragon Pepper,Dubious Food,Foggy Brew,Goat Tongue,Frostbite Shard,Gigi's Cookie Box,Leech Mask,Molten Dip,Noomlin Biscuit,Nutshell Cake,Pom Mask,Sheepopper Mask,Shade Clay,Skullmist Tea,Skull Muffin,Snowcake,Snuffer Mask,Suncream,Tigris Mask,Zoomlin Wafers,Molten Egg Charm,Cake Charm,Bread Charm,Frenzy Charm,Zoomlin Charm                                                                                                                                                                   ",nan                                                                            ,StatusEffectDestroyAfterUse                           ,Play Type Not Place                                                      ,-999           ,nan                                     ,nan                                                                   
Destroy Self After Turn                                                  ,Destroy self                                                                                                                                              ,"I.C.G.M,Moko Totem,Popshroom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",nan                                                                            ,StatusEffectDestroySelfAfterTurn                      ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Double All Spice When Destroyed                                          ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectDoubleAllXWhenDestroyed                   ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Double Attack                                                            ,None                                                                                                                                                      ,[Indirect]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,nan                                                                            ,StatusEffectInstantIncreaseAttack                     ,Does Damage                                                              ,0           ,nan                                     ,nan                                                                   
Double Block                                                             ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectInstantDoubleX                            ,Has Block                                                                ,0           ,nan                                     ,nan                                                                   
Double Ink                                                               ,Double the target's <keyword=ink>                                                                                                                         ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectInstantDoubleX                            ,Has Ink                                                                  ,0           ,nan                                     ,nan                                                                   
Double Juice                                                             ,Double the target's <keyword=juice>                                                                                                                       ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectInstantDoubleX                            ,Has Juice                                                                ,0           ,nan                                     ,nan                                                                   
Double Negative Effects                                                  ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectInstantDoubleNegativeEffects              ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Double Overload                                                          ,Double the target's <keyword=overload>                                                                                                                    ,"Vesta(a),Azul Candle(a)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",nan                                                                            ,StatusEffectInstantDoubleX                            ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Double Shell                                                             ,Double the target's <keyword=shell>                                                                                                                       ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectInstantDoubleX                            ,nan                                                                      ,0           ,nan                                     ,nan                                                                   
Double Shroom                                                            ,None                                                                                                                                                      ,[Unused]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,nan                                                                            ,StatusEffectInstantDoubleX                            ,Has Shroom                                                               ,0           ,nan                                     ,nan                                                                   
